09/17/2017, 15/36/33, BTC ,53 ,0.17, 3620.25 LTC ,5 ,0.03, 49.0881 ETH ,28 ,0.34, 253.35 
09/17/2017, 15/37/03, BTC ,31 ,0.08, 3620.25 LTC ,3 ,0.02, 49.0881 ETH ,14 ,0.25, 253.35 
09/17/2017, 15/37/33, BTC ,34 ,0.13, 3620.25 LTC ,5 ,-0.06, 49.0881 ETH ,9 ,0.08, 253.35 
09/17/2017, 15/38/03, BTC ,37 ,0.12, 3620.25 LTC ,4 ,0.22, 49.0881 ETH ,15 ,0.16, 253.35 
09/17/2017, 15/38/35, BTC ,40 ,0.02, 3620.25 LTC ,6 ,-0.02, 49.0881 ETH ,9 ,0.01, 253.35 
09/17/2017, 15/39/05, BTC ,19 ,0.09, 3620.25 LTC ,5 ,-0.15, 49.0881 ETH ,9 ,0.18, 253.35 
09/17/2017, 15/39/36, BTC ,40 ,0.05, 3620.25 LTC ,4 ,-0.06, 48.9696 ETH ,16 ,0.12, 253.35 
09/17/2017, 15/40/06, BTC ,116 ,0.47, 3620.25 LTC ,3 ,0.0, 48.9696 ETH ,91 ,0.59, 253.35 
09/17/2017, 15/40/36, BTC ,38 ,0.13, 3620.25 LTC ,2 ,0.41, 48.9696 ETH ,25 ,0.27, 253.35 
09/17/2017, 15/41/07, BTC ,42 ,0.0, 3620.25 LTC ,9 ,-0.2, 48.9696 ETH ,12 ,0.31, 253.35 
09/17/2017, 15/41/37, BTC ,36 ,0.12, 3615.2 LTC ,3 ,0.15, 48.9696 ETH ,26 ,0.28, 253.308 
09/17/2017, 15/42/07, BTC ,45 ,0.3, 3615.2 LTC ,3 ,0.21, 48.9696 ETH ,25 ,0.34, 253.308 
09/17/2017, 15/42/37, BTC ,97 ,0.32, 3615.2 LTC ,1 ,0.0, 48.9696 ETH ,67 ,0.56, 253.308 
09/17/2017, 15/43/08, BTC ,98 ,0.48, 3615.2 LTC ,2 ,0.0, 48.9696 ETH ,82 ,0.57, 253.308 
09/17/2017, 15/43/38, BTC ,51 ,0.03, 3615.2 LTC ,1 ,0.08, 48.9696 ETH ,13 ,0.09, 253.308 
09/17/2017, 15/44/09, BTC ,34 ,0.18, 3615.2 LTC ,4 ,-0.1, 48.9696 ETH ,19 ,0.28, 253.308 
09/17/2017, 15/44/39, BTC ,39 ,0.15, 3615.2 LTC ,1 ,0.27, 48.9696 ETH ,33 ,0.14, 253.308 
09/17/2017, 15/45/09, BTC ,59 ,0.07, 3615.2 LTC ,34 ,0.02, 48.9696 ETH ,9 ,0.32, 253.308 
09/17/2017, 15/45/39, BTC ,52 ,0.17, 3610.63 LTC ,2 ,0.0, 48.8434 ETH ,18 ,0.14, 252.882 
09/17/2017, 15/46/09, BTC ,45 ,0.13, 3610.63 LTC ,5 ,-0.05, 48.8434 ETH ,22 ,0.16, 252.882 
09/17/2017, 15/46/40, BTC ,31 ,0.13, 3610.63 LTC ,2 ,0.39, 48.8434 ETH ,10 ,0.38, 252.882 
09/17/2017, 15/47/10, BTC ,36 ,0.11, 3610.63 LTC ,4 ,0.33, 48.8434 ETH ,12 ,0.16, 252.882 
